,Date,France,Canada,Mexico,Germany,Brazil,
0,2020-03-01,52281,10008,1215,61913,5717,
1,2020-04-01,168861,51846,19224,159119,87187,
2,2020-05-01,190975,85043,90664,181482,516137,
3,2020-06-01,204244,96487,226089,194259,1412669,
4,2020-07-01,227239,106030,424637,208698,2670451,
5,2020-08-01,321160,115679,599560,242381,3914829,
6,2020-09-01,605893,144485,743216,289219,4817365,
7,2020-10-01,1414396,210167,924962,518753,5537763,
8,2020-11-01,2276830,325265,1113543,1053869,6341965,
9,2020-12-01,2677660,489795,1426094,1719737,7681032,
10,2021-01-01,3255994,658678,1864260,2216363,9208521,
