,Date,France,Canada,Mexico,Germany,Brazil
0,2020-03-01,3526,143,29,583,201
1,2020-04-01,24349,3964,1859,6288,6006
2,2020-05-01,28805,7684,9930,8500,29367
3,2020-06-01,29846,8567,27769,8973,59792
4,2020-07-01,30268,8784,46688,9141,92728
5,2020-08-01,30646,8907,64414,9298,121618
6,2020-09-01,31978,9075,77646,9488,144078
7,2020-10-01,36827,9902,91753,10452,159972
8,2020-11-01,52818,11681,105940,16248,173268
9,2020-12-01,64758,14689,125807,33071,195072
10,2021-01-01,76200,18393,158536,56945,224648
