,Date,France,Canada,Mexico,Germany,Brazil
0,2020-03-01,9513,1592,35,16100,127
1,2020-04-01,49476,21424,11423,123500,35935
2,2020-05-01,68473,49213,63772,165352,206555
3,2020-06-01,76399,69120,174538,178100,788318
4,2020-07-01,81764,102906,327115,191992,2008854
5,2020-08-01,86790,116020,496222,216795,3268591
6,2020-09-01,98632,137181,628007,256861,4274774
7,2020-10-01,123095,198952,779371,356410,5005161
8,2020-11-01,167913,304595,823586,749219,5597802
9,2020-12-01,200142,493638,1074795,1350708,6848844
10,2021-01-01,230612,710699,1412393,1940046,8176373
